playlist a,playlist b,common tracks, unique tracks
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_the_movie_vibes",0,204
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_playlist",1,174
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_nicole<3",1,214
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes_",0,199
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for",16,145
"barbie_but_its_the_end_of_the_movie_and_youre_sad","girly_barbie_vibes_",0,183
"barbie_but_its_the_end_of_the_movie_and_youre_sad","im_a_barbie_girl_in_a_barbie_world_sukuna",1,480
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_can_you_play_ken",2,166
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_vibes",0,297
"barbie_but_its_the_end_of_the_movie_and_youre_sad","🌷🎀_Barbie_Vibes_🛼🌸",0,332
"barbie_but_its_the_end_of_the_movie_and_youre_sad","what_was_i_made_for_type_of_sad",21,121
"barbie_but_its_the_end_of_the_movie_and_youre_sad","barbie_movie_vibes_2023",0,238
"barbie_the_movie_vibes","barbie_playlist",11,100
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_nicole<3",4,154
"barbie_the_movie_vibes","barbie_vibes_",3,139
"barbie_the_movie_vibes","what_was_i_made_for",0,123
"barbie_the_movie_vibes","girly_barbie_vibes_",1,127
"barbie_the_movie_vibes","im_a_barbie_girl_in_a_barbie_world_sukuna",5,418
"barbie_the_movie_vibes","barbie_can_you_play_ken",0,116
"barbie_the_movie_vibes","barbie_vibes",5,233
"barbie_the_movie_vibes","🌷🎀_Barbie_Vibes_🛼🌸",8,262
"barbie_the_movie_vibes","what_was_i_made_for_type_of_sad",0,109
"barbie_the_movie_vibes","barbie_movie_vibes_2023",7,170
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_nicole<3",7,120
"barbie_playlist","barbie_vibes_",2,113
"barbie_playlist","what_was_i_made_for",1,93
"barbie_playlist","girly_barbie_vibes_",1,99
"barbie_playlist","im_a_barbie_girl_in_a_barbie_world_sukuna",6,388
"barbie_playlist","barbie_can_you_play_ken",0,88
"barbie_playlist","barbie_vibes",3,209
"barbie_playlist","🌷🎀_Barbie_Vibes_🛼🌸",13,224
"barbie_playlist","what_was_i_made_for_type_of_sad",1,79
"barbie_playlist","barbie_movie_vibes_2023",4,148
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_vibes_",9,139
"im_a_barbie_girl_in_a_barbie_world_nicole<3","what_was_i_made_for",0,135
"im_a_barbie_girl_in_a_barbie_world_nicole<3","girly_barbie_vibes_",5,131
"im_a_barbie_girl_in_a_barbie_world_nicole<3","im_a_barbie_girl_in_a_barbie_world_sukuna",14,412
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_can_you_play_ken",0,128
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_vibes",15,225
"im_a_barbie_girl_in_a_barbie_world_nicole<3","🌷🎀_Barbie_Vibes_🛼🌸",23,244
"im_a_barbie_girl_in_a_barbie_world_nicole<3","what_was_i_made_for_type_of_sad",0,121
"im_a_barbie_girl_in_a_barbie_world_nicole<3","barbie_movie_vibes_2023",24,148
"barbie_vibes_","what_was_i_made_for",0,118
"barbie_vibes_","girly_barbie_vibes_",18,88
"barbie_vibes_","im_a_barbie_girl_in_a_barbie_world_sukuna",33,357
"barbie_vibes_","barbie_can_you_play_ken",0,111
"barbie_vibes_","barbie_vibes",8,222
"barbie_vibes_","🌷🎀_Barbie_Vibes_🛼🌸",24,225
"barbie_vibes_","what_was_i_made_for_type_of_sad",0,104
"barbie_vibes_","barbie_movie_vibes_2023",18,143
"what_was_i_made_for","girly_barbie_vibes_",0,102
"what_was_i_made_for","im_a_barbie_girl_in_a_barbie_world_sukuna",0,401
"what_was_i_made_for","barbie_can_you_play_ken",1,87
"what_was_i_made_for","barbie_vibes",0,216
"what_was_i_made_for","🌷🎀_Barbie_Vibes_🛼🌸",0,251
"what_was_i_made_for","what_was_i_made_for_type_of_sad",10,62
"what_was_i_made_for","barbie_movie_vibes_2023",0,157
"girly_barbie_vibes_","im_a_barbie_girl_in_a_barbie_world_sukuna",25,357
"girly_barbie_vibes_","barbie_can_you_play_ken",0,95
"girly_barbie_vibes_","barbie_vibes",6,210
"girly_barbie_vibes_","🌷🎀_Barbie_Vibes_🛼🌸",18,221
"girly_barbie_vibes_","what_was_i_made_for_type_of_sad",0,88
"girly_barbie_vibes_","barbie_movie_vibes_2023",11,141
"im_a_barbie_girl_in_a_barbie_world_sukuna","barbie_can_you_play_ken",2,390
"im_a_barbie_girl_in_a_barbie_world_sukuna","barbie_vibes",19,483
"im_a_barbie_girl_in_a_barbie_world_sukuna","🌷🎀_Barbie_Vibes_🛼🌸",37,482
