tracks,occurrence,freqency
"Ruins of Illusk",1,0.100000
"Daughter of Hatred",1,0.100000
"The Drawing Room",1,0.100000
"Story Of The Dark Crystal",1,0.100000
"Graveyard",1,0.100000
"Mansion in the Mist",1,0.100000
"Sanctum of the Dead",1,0.100000
"Into The Catacombs",1,0.100000
"Forlorn Cliffs",1,0.100000
"A Watchful Gathering",1,0.100000
"Leviathan",1,0.100000
"So Blind and in Terror",1,0.100000
"They Left Me in Here",1,0.100000
"Goblin Den",1,0.100000
"The Will of Helm",1,0.100000
"Noctem Aeternus",1,0.100000
"An Ominous Place",1,0.100000
"Explore the Ruins",1,0.100000
"Grayland",1,0.100000
"Cold Spring",1,0.100000
"Darkscore",1,0.100000
"Elmshore",4,0.400000
"Twin Elms",4,0.400000
"Teller of the Tales",1,0.100000
"From Past to Present",7,0.700000
"Ancient Stones",2,0.200000
"The City Gates",4,0.400000
"Dragonsreach",2,0.200000
"Vanishing Grace (Childhood)",2,0.200000
"Dawn",3,0.300000
"The Streets of Whiterun",5,0.500000
"Secunda",2,0.200000
"Defiance Bay",3,0.300000
"Band of Explorers",1,0.100000
"Far Horizons",4,0.400000
"Ondras Gift",2,0.200000
"útanlands",2,0.200000
"Threshold",1,0.100000
"Up the Spirit Caverns Walls (feat. Tom Boyd)",2,0.200000
"Echoes of a River",2,0.200000
"Firebird Suite: The Princesses' Round Dance",1,0.100000
"Evolution (Main Theme)",1,0.100000
"First Lights",1,0.100000
"Excerpt from the Hope",1,0.100000
"First Steps",2,0.200000
"Alban Arthuan",1,0.100000
"A Kora Tale",1,0.100000
"The Edge of Light",2,0.200000
"Peaceful Waters",2,0.200000
"Love Theme",1,0.100000
"Tell Me (feat. Julie Elven) - Part 1 - Motherland",1,0.100000
"Prologue (Early Style Sketch) - Part 1 - Motherland",1,0.100000
"City of Sails",2,0.200000
"City On The Mesa - Part 3 - Onwards To Meridian",1,0.100000
"Isles of the Starry Dream",2,0.200000
"Starlight on Eton Nir",2,0.200000
"Not That Simple",1,0.100000
"ek elska þik",3,0.300000
"himinbjörg",3,0.300000
"jata",1,0.100000
"Tavern At The End Of World",1,0.100000
"Tranquil Days",1,0.100000
"Dusk at the Market",4,0.400000
"Concerning Hobbits",2,0.200000
"Love Scene",2,0.200000
"Human Nobility",2,0.200000
"Store",1,0.100000
"Watchman's Ease",3,0.300000
"Harvest Dawn",3,0.300000
"The Gathering Storm",2,0.200000
"Northpoint Nocturne",4,0.400000
"King and Country",3,0.300000
"Awake",2,0.200000
"Bloodlines",2,0.200000
"Moth, Butterfly, and Torchbug",4,0.400000
"Mother of All",1,0.100000
"Twin Elms Redux",1,0.100000
"The Heart of Nirn",3,0.300000
"Starlight",1,0.100000
"I Want to Live - Instrumental Version",1,0.100000
"Autumn Is Coming",1,0.100000
"Winterlight",1,0.100000
"Dancing Reflections",1,0.100000
"Spirit Nest",1,0.100000
"The Towers Cast Long Shadows",3,0.300000
"People Turn On You So Fast",1,0.100000
"The Proposition",1,0.100000
"Frostfall",2,0.200000
"The Road Forward",1,0.100000
"Three Days to Cross",1,0.100000
"This Is Heaven",1,0.100000
"Elder Silence",2,0.200000
"Respite",1,0.100000
"The Lady of Rosewood",1,0.100000
"Lost Paradise",1,0.100000
"Burrow (Alt)",1,0.100000
"Gold Coast Horizon",1,0.100000
"You Wanna Hit Me?",1,0.100000
"The Toll Of War",1,0.100000
"Those First Steps",1,0.100000
"Glowing Beauty",1,0.100000
"Discovery, Two",1,0.100000
"Remembering Emilie, and Finale",1,0.100000
"The Dike",1,0.100000
"Les Edhil",1,0.100000
"Breton Medley",1,0.100000
"The Heartlands",1,0.100000
"Flotsam At Sunrise",1,0.100000
"A Peaceful Evening",1,0.100000
"LBJ Orders Strikes",1,0.100000
"Where's My Horse?",1,0.100000
"Pleasured Distractions",1,0.100000
"Walls No Man Has Seen",1,0.100000
"Open Country",1,0.100000
"A New Friend",1,0.100000
"Our Story Begins",1,0.100000
"Imperial Library",1,0.100000
"A Mother's Grief",1,0.100000
"Rite",1,0.100000
"Bringing Joey Home, and Bonding",1,0.100000
"The Enchanted Glade",1,0.100000
"Star Of The County Down",1,0.100000
"Moving",1,0.100000
"Woods",1,0.100000
"Rime On The Moor",1,0.100000
"Through the Mountains",2,0.200000
"Forlorn Feather",1,0.100000
"The Streets of Baerlon",1,0.100000
"La Source",1,0.100000
"Bramblestoke Village",1,0.100000
"L'orée du bois",1,0.100000
"Shadowthorn Thicket",1,0.100000
"Crossroad at Dawn",1,0.100000
"Caravans Crossing",1,0.100000
"Shepard's Flute",1,0.100000
"Island Village",1,0.100000
"Forest Calling",1,0.100000
"Unicorn's Rest",2,0.200000
"Southern Vineyard",1,0.100000
"Summer Fields",1,0.100000
"Bowerstone",1,0.100000
"Greatwood",1,0.100000
"Hawke Family Theme",2,0.200000
"The Western Approach",1,0.100000
"The Scar",1,0.100000
"The Dalish Elves' Encampment",1,0.100000
"Down the Moon Grotto",2,0.200000
"Gumo's Hideout",1,0.100000
"Spikeroog",2,0.200000
"Kaer Morhen",2,0.200000
"The Vagabond",2,0.200000
"After The Storm",2,0.200000
"Bonnie At Morn - Instrumental",2,0.200000
"A Story You Won't Believe",1,0.100000
"When No Man Has Gone Before",2,0.200000
"I Name Thee Dea And Embrace Thee As My Daughter",1,0.100000
"The Wolf And The Swallow",1,0.100000
"The Golden Cliff",1,0.100000
"Heart of The Wild",1,0.100000
"A Far East Dream",1,0.100000
"Lands of Despair",1,0.100000
"Road To Temptation",1,0.100000
"Green Fields Of Antaloor",1,0.100000
"Play with me, my fellow!",1,0.100000
"Tavern 07",1,0.100000
"Tavern 08",1,0.100000
"Fairy In The Grove",1,0.100000
"Behind The Mountain",1,0.100000
"Elwynn Forest",2,0.200000
"Dun Morogh",3,0.300000
"Felwood",1,0.100000
"Stranglethorn Vale",1,0.100000
"Teldrassil",2,0.200000
"Tavern",1,0.100000
"Moonfall",1,0.100000
"Temple",1,0.100000
"Azuremyst Isle",1,0.100000
"Taverns",1,0.100000
"Crystalsong",1,0.100000
"Garden of Life",1,0.100000
"Sands of the Alik'r",2,0.200000
"Winged Twilight",1,0.100000
"They Did Not Die in Vain",1,0.100000
"The Legacy of Lorkhan",1,0.100000
"Courage of Ordinary Mortals",2,0.200000
"Stendarr’s Mercy",1,0.100000
"Alas, the Dragon Shall Break",2,0.200000
"The Keep Has Fallen",1,0.100000
"Bruma Against the Jeralls",2,0.200000
"Ruins of the Ayleids",1,0.100000
"Memories of Yokuda Lost",1,0.100000
"City Gates",1,0.100000
"A Nearly Peaceful Place",2,0.200000
"Dwarven Stone Upon Dwarven Stone",2,0.200000
"Vergen By Night",2,0.200000
"Blue Mountains - Edit Version",2,0.200000
"A Quiet Corner",2,0.200000
"A Tavern On The Riverbank",1,0.100000
"Harbor Town",1,0.100000
"The Musty Scent Of Fresh Pâté",1,0.100000
"The Moon Over Mount Gorgon",1,0.100000
"Wind In The Caroberta Woods",1,0.100000
"Tavern Music",1,0.100000
"Morning in Karthal",1,0.100000
"Lulled by the Waves",1,0.100000
"Moonlit Journey",1,0.100000
"The Agyn Peninsula",1,0.100000
"Of Fathers and Sons",1,0.100000
"Journey to Kattegat",1,0.100000
"Northern Lights / Entry to Kattegat",1,0.100000
"Among the Poor",1,0.100000
"Commerce in the Peninsula",1,0.100000
"Machiavelli",1,0.100000
"Night Time",1,0.100000
"The Age of Discovery",1,0.100000
"The Princess Pleads For Wallace's Life",1,0.100000
"Thedas Love Theme",2,0.200000
"Jagdrevier",1,0.100000
"Prehnshain",1,0.100000
"Farewell",1,0.100000
"Morning Village",1,0.100000
"Am Fluß Der Zeit",1,0.100000
"England Anno 1066",1,0.100000
